hardware,device,gpu_name,ram_gb,high_ram,model,config,loss,loss_used,co2_kg,time_s,ndcg@5,ndcg@10,recall@5,recall@10,mrr@5,mrr@10,precision@5,precision@10,hit@5,hit@10,map@5,map@10
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,ItemKNN,ItemKNN_s2024_r2,N/A,N/A,3.179277346449362e-05,3.65,0.276,0.272,0.1489,0.2332,0.4365,0.4553,0.2363,0.1854,0.632,0.7699,0.193,0.161
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,ItemKNN,ItemKNN_s2024_r3,N/A,N/A,3.751294208564036e-05,4.24,0.2829,0.2787,0.1564,0.2395,0.4559,0.471,0.2382,0.186,0.6564,0.7699,0.1966,0.1663
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,ItemKNN,ItemKNN_s2024_r4,N/A,N/A,2.5865288174607763e-05,3.55,0.2635,0.2675,0.1466,0.2351,0.4171,0.4354,0.2263,0.185,0.6235,0.7603,0.1822,0.1576
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,ItemKNN,ItemKNN_s2024_r5,N/A,N/A,3.353743627381528e-05,3.87,0.2755,0.2755,0.1512,0.2399,0.4354,0.4529,0.2373,0.19,0.6426,0.772,0.1904,0.1631
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,ItemKNN,ItemKNN_s2024_r6,N/A,N/A,3.91738096681414e-05,4.7,0.284,0.2802,0.1588,0.2372,0.4619,0.4759,0.2339,0.1849,0.6649,0.7688,0.1974,0.1683
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,ItemKNN,ItemKNN_s2025_r1,N/A,N/A,2.5633693935589008e-05,3.12,0.261,0.2618,0.1458,0.2269,0.428,0.4454,0.2214,0.1786,0.6373,0.7625,0.1755,0.1512
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,ItemKNN,ItemKNN_s2025_r2,N/A,N/A,3.1026256703287544e-05,3.99,0.2744,0.2733,0.1447,0.233,0.4397,0.4579,0.2324,0.1861,0.6352,0.7699,0.1913,0.1625
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,ItemKNN,ItemKNN_s2025_r3,N/A,N/A,3.733361441600928e-05,4.51,0.2763,0.2755,0.1484,0.2369,0.4412,0.4597,0.2331,0.1849,0.6267,0.7625,0.1935,0.1651
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,ItemKNN,ItemKNN_s2025_r4,N/A,N/A,2.5892075980733893e-05,3.2,0.2655,0.2693,0.1408,0.2342,0.432,0.4544,0.2246,0.1857,0.6204,0.7815,0.1836,0.1569
L4_GPU_HighRAM,cuda,NVIDIA L4,52,True,ItemKNN,ItemKNN_s2025_r5,N/A,N/A,3.3854538168249884e-05,3.88,0.2749,0.2737,0.1517,0.2358,0.4376,0.4552,0.2346,0.1866,0.6458,0.7773,0.19,0.162
